web-scraper-order,web-scraper-start-url,Link,Link-href,Name,Types,About,Schedule,Duration,Address,Rating,ReviewsNo,ExcellentRating,VeryGoodRating,AverageRating,PoorRating,TerribleRating
"1701377299-1","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4650. Cascais Souvenirs and Mini Market","https://www.tripadvisor.com/Attraction_Review-g189154-d13139975-Reviews-Cascais_Souvenirs_and_Mini_Market-Cascais_Lisbon_District_Central_Portugal.html","Cascais Souvenirs and Mini Market","[]","","","","Alameda Duquesa Palmela 4, Cascais 2750-335 Portugal","","","","","","",""
"1701377307-2","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4649. Atrium Bar","https://www.tripadvisor.com/Attraction_Review-g1598491-d13008235-Reviews-Atrium_Bar-Sacavem_Lisbon_District_Central_Portugal.html","Atrium Bar","[]","a dedicated team, a different space. apart from all our drinks we mainly serve good mood. karaoke on Thursdays and dj Fridays and Saturdays. our gins are undoubtedly the ex libris of the house.","12:00 AM - 4:00 AM","Duration: More than 3 hours","Travessa das Prioras 2B, Sacavem 2685-100 Portugal","","","","","","",""
"1701377314-3","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4648. Acervo","https://www.tripadvisor.com/Attraction_Review-g189158-d12917906-Reviews-Acervo-Lisbon_Lisbon_District_Central_Portugal.html","Acervo","[]","Founded in March 2016 and based in the former historic gallery of São Bento in Lisbon, Acervo - Contemporary Art is an art gallery and agency dedicated to the identification and promotion of the best Portuguese emerging artists.","","Duration: < 1 hour","Rua do Machadinho 1, Lisbon 1350-003 Portugal","","","","","","",""
"1701377321-4","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4647. Sailboat Aqui Há Peixe","https://www.tripadvisor.com/Attraction_Review-g189158-d12879044-Reviews-Sailboat_Aqui_Ha_Peixe-Lisbon_Lisbon_District_Central_Portugal.html","Sailboat Aqui Há Peixe","[]","","","","","","","","","","",""
"1701377328-5","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4646. Taxi Boat Lisboa","https://www.tripadvisor.com/Attraction_Review-g189158-d12844344-Reviews-Taxi_Boat_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html","Taxi Boat Lisboa","[]","Taxi rides and excursions around Lisbon and Tagus River on a classic wooden boat. A fully customized experience. Arrive anywhere along the coast of Lisbon in style!","12:00 AM - 11:59 PM","Duration: 1-2 hours","","","","","","","",""
"1701377335-6","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4645. Portugalinfo","https://www.tripadvisor.com/Attraction_Review-g189158-d10716346-Reviews-Portugalinfo-Lisbon_Lisbon_District_Central_Portugal.html","Portugalinfo","[]","","","","","","","","","","",""
"1701377342-7","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4644. iContact","https://www.tripadvisor.com/Attraction_Review-g189164-d10517022-Reviews-IContact-Sintra_Sintra_Municipality_Lisbon_District_Central_Portugal.html","iContact","[]","","","","Travessa de São Placido 4a-Cave Dta, Sintra 1200-858 Portugal","","","","","","",""
"1701377349-8","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4643. Muitaventura","https://www.tripadvisor.com/Attraction_Review-g189164-d10749214-Reviews-Muitaventura-Sintra_Sintra_Municipality_Lisbon_District_Central_Portugal.html","Muitaventura","[]","","","","","","","","","","",""
"1701377357-9","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4642. Escola de Natacao Delfins Azuis","https://www.tripadvisor.com/Attraction_Review-g7744165-d12874027-Reviews-Escola_de_Natacao_Delfins_Azuis-Sao_Domingos_de_Rana_Lisbon_District_Central_Po.html","Escola de Natacao Delfins Azuis","[]","","","","","","","","","","",""
"1701377364-10","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4641. Academia Dos Sabores","https://www.tripadvisor.com/Attraction_Review-g189158-d6117011-Reviews-Academia_Dos_Sabores-Lisbon_Lisbon_District_Central_Portugal.html","Academia Dos Sabores","[]","","","","Largo Monterroio de Mascarenhas 1, Lisbon 1099-081 Portugal","","","","","","",""
"1701377371-11","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4640. Lisbon Gay Tours","https://www.tripadvisor.com/Attraction_Review-g189164-d8742752-Reviews-Lisbon_Gay_Tours-Sintra_Sintra_Municipality_Lisbon_District_Central_Portugal.html","Lisbon Gay Tours","[]","","","","","","","","","","",""
"1701377378-12","https://www.tripadvisor.com/Attractions-g3874225-Activities-oa4620-Lisbon_District_Central_Portugal.html","4639. Openlistours","https://www.tripadvisor.com/Attraction_Review-g189158-d12549092-Reviews-Openlistours-Lisbon_Lisbon_District_Central_Portugal.html","Openlistours","[]","Openlistours is a tourist animation company with a young and dynamic essence. Our aim is to make Portugal known to our passengers in a unique and peaceful way. With our Tours, we guarantee unique experiences, discovering the endless Portuguese Heritage, from the Palaces and Castles, to the Gastronomy and the genuine hospitality, beauty, mystery and unique charm of Portugal.","","Duration: More than 3 hours","","","","","","","",""
