,Link-href,Name,Types,About,Duration,Address,Rating,ReviewsNo,ExcellentRating,VeryGoodRating,AverageRating,PoorRating,TerribleRating,StartTime,EndTime,LunchStart,LunchEnd,DurationMin,DurationMax
0,https://www.tripadvisor.com/Attraction_Review-g189158-d195144-Reviews-Oceanario_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,Oceanário de Lisboa,['Aquariums'],"Oceanário de Lisboa is one of the largest aquariums in Europe featuring over 15,000 marine creatures from 500 species. It is centered around one main central tank and several smaller habitats spread over two floors, and showcases both terrestrial and marine ecosystems. You can even spend a night here and sleep with sharks. The building 'floats' in a bay off Parque de Nacoes in eastern Lisbon riverside frontview—you can walk to the Oceanário de Lisboa via a walkway across the water. 

This attraction is a popular stop on hop-on hop-off bus tours in Lisbon which includes audio guides in several languages. 

– Tripadvisor",Duration: 2-3 hours,"Esplanada D. Carlos I Doca dos Olivais, Lisbon 1990-005 Portugal",4.5,40565,26272,10703,2897,487,0,10:00:00,20:00:00,,,0 days 02:00:00,0 days 03:00:00
1,https://www.tripadvisor.com/Attraction_Review-g189164-d484394-Reviews-Quinta_da_Regaleira-Sintra_Sintra_Municipality_Lisbon_District_Central_Portugal.html,Quinta da Regaleira,"['Architectural Buildings', 'Castles', 'Gardens']","This fairytale-like country estate and UNESCO World Heritage Site located near Sintra’s historic center is known for its beautiful architecture, landscaped gardens, and the eerie Initiation Wells. Take a guided tour of the property to learn more about its enthralling history, and explore other mysteries like the underground tunnels, grottoes, chapel, and more. The estate gets busy so visit once it opens for a quieter experience; tickets often sell out too so book early to secure your slot.

Explore Quinta da Regaleira on a tour of Sintra, which often includes stops at other iconic sights like Pena Palace and Roca Cape. 

– Tripadvisor",Duration: 1-2 hours,"Rua Barbosa do Bocage, Sintra 2710-567 Portugal",5.0,13871,11321,2063,337,81,690,10:00:00,17:30:00,,,0 days 01:00:00,0 days 02:00:00
2,https://www.tripadvisor.com/Attraction_Review-g189158-d195649-Reviews-Alfama-Lisbon_Lisbon_District_Central_Portugal.html,Alfama,['Neighborhoods'],"Wonderful sights delight walkers at every turn in this culturally rich and charming part of Lisbon, which through its architecture reminds visitors of its Visigothic roots, Arabic influence and fishing port heritage.",Duration: 1-2 hours,,4.5,21287,13203,6725,1081,178,1000,,,,,0 days 01:00:00,0 days 02:00:00
3,https://www.tripadvisor.com/Attraction_Review-g189158-d195318-Reviews-Mosteiro_dos_Jeronimos-Lisbon_Lisbon_District_Central_Portugal.html,Mosteiro dos Jeronimos,"['Historic Sites', 'Architectural Buildings', 'Religious Sites']","No expense was spared when they built this masterpiece of Manueline and Gothic architecture in 1502, which was inspired by Vasco da Gama who is buried here with other great navigators of the past.",Duration: 2-3 hours,"Praca do Imperio Belém, Lisbon 1400-206 Portugal",4.5,31687,19522,9073,2354,436,0,10:00:00,18:00:00,,,0 days 02:00:00,0 days 03:00:00
4,https://www.tripadvisor.com/Attraction_Review-g189158-d524074-Reviews-Torre_de_Belem-Lisbon_Lisbon_District_Central_Portugal.html,Torre de Belém,['Points of Interest & Landmarks'],A 16th-century tower which serves as a monument to Portugal's Age of Discovery on both land and sea.,Duration: 2-3 hours,"Avenida Brasília - Belém, Lisbon 1400-038 Portugal",4.0,37917,17117,14123,5193,978,0,10:00:00,17:00:00,,,0 days 02:00:00,0 days 03:00:00
5,https://www.tripadvisor.com/Attraction_Review-g189158-d199878-Reviews-Praca_do_Comercio_Terreiro_do_Paco-Lisbon_Lisbon_District_Central_Portugal.html,Praca do Comercio (Terreiro do Paco),['Points of Interest & Landmarks'],"One of the biggest squares in Europe, this stylish area in downtown Lisbon often displays beautiful works of art and sculpture, and is a great place for a leisurely stroll.",Duration: < 1 hour,"Avenida Infante Dom Henrique 1C, Lisbon 1100-053 Portugal",4.5,17075,9292,6270,1303,134,760,,,,,,0 days 01:00:00
6,https://www.tripadvisor.com/Attraction_Review-g189158-d195107-Reviews-Castelo_de_S_Jorge-Lisbon_Lisbon_District_Central_Portugal.html,Castelo de S. Jorge,"['Historic Sites', 'Castles']","Standing proudly on Lisbon's highest hill, this historic castle offers panoramic views of the city all around it. The fort dates back to the Moorish times in the 11th century, and has served as military barracks and royal chambers. Currently, it's a national monument which is home to a museum and archaeological site, though most people visit for the fantastic views and gardens to relax in. 

There are free and paid guided tours available in the ticket, as well as regular free demos for the camera obscura which provides 360º detailed views of the city in real-time",Duration: 1-2 hours,"Rua de Santa Cruz do Castelo, Lisbon 1100-129 Portugal",4.0,30496,13972,11072,4202,925,0,09:00:00,18:00:00,,,0 days 01:00:00,0 days 02:00:00
7,https://www.tripadvisor.com/Attraction_Review-g189158-d195106-Reviews-Calouste_Gulbenkian_Museum-Lisbon_Lisbon_District_Central_Portugal.html,Calouste Gulbenkian Museum,"['Art Galleries', 'Art Museums']","With works ranging from Antiquity to the early 20th century, the Founder’s Collection comprises more than six thousand pieces gathered throughout Calouste Sarkis Gulbenkian’s life, including Egyptian Art, Greco-Roman Art, Islamic Arts, Painting, Sculpture and European Decorative Arts. Works by great masters such as Rubens, Rembrandt, Turner, Degas and René Lalique’s largest set of jewels are just a few examples of what can be found in one of the best private collections in the world. Besides the Founder’s Collection, the Calouste Gulbenkian Museum is also comprised by the Modern Collection, which features the largest and most complete collection of modern and contemporary Portuguese Art. The Calouste Gulbenkian Museum is surrounded by one of the most emblematic modern gardens in Portugal, open all year. The Museum offers a wide range of facilities to improve the visitor’s experience: three cafeterias overlooking the Garden, a museum shop, free cloackroom service and free Wi-Fi.",Duration: 1-2 hours,"Avenida de Berna 45A, Lisbon 1067-001 Portugal",4.5,8606,6108,1963,438,66,310,10:00:00,18:00:00,,,0 days 01:00:00,0 days 02:00:00
8,https://www.tripadvisor.com/Attraction_Review-g189158-d195105-Reviews-Bairro_Alto-Lisbon_Lisbon_District_Central_Portugal.html,Bairro Alto,['Neighborhoods'],"Home to art galleries and a historic monastery (Convento do Carmo), Bairro Alto is one of the busiest districts of Lisbon after dark. Locals and travelers pack its narrow streets to hang out outside the area’s countless bars. Try ginjinha, a local liqueur, as you listen to live fado music. During the day, you can stroll through the neighborhood's narrow streets and check out the quaint boutiques and cafes. 

To get to Bairro Alto, take the eye-catching Glória Funicular at Liberdade Avenue. It’ll drop you off at the São Pedro de Alcântara viewpoint, where you'll get commanding views of the city. 

– Tripadvisor",,,4.5,13017,6886,4844,987,189,0,,,,,,
9,https://www.tripadvisor.com/Attraction_Review-g189158-d195776-Reviews-Museu_Nacional_do_Azulejo-Lisbon_Lisbon_District_Central_Portugal.html,Museu Nacional do Azulejo,"['Speciality Museums', 'Art Museums']","A must-see for people interested in the history and design of ceramic tiles, this specialty museum houses a splendid collection of decorative tiles dating from the 15th century to the present.",Duration: 2-3 hours,"Rua Madre de Deus 4 São João, Lisbon 1900-312 Portugal",4.5,4416,2746,1334,273,41,220,10:00:00,18:00:00,,,0 days 02:00:00,0 days 03:00:00
